time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-11-08T22:47:38.309Z,-17.8065,177.9245,10,4.7,mb,,73,0.136,0.74,us,us60006c1m,2020-02-01T23:22:02.040Z,"40 km SE of Ba, Fiji",earthquake,9.6,1.9,0.102,29,reviewed,us,us
2019-11-06T22:12:30.301Z,-16.5941,176.9606,10,4.6,mb,,172,1.549,0.48,us,us60006bit,2020-02-01T23:21:43.040Z,"124 km NNW of Lautoka, Fiji",earthquake,6.3,1.8,0.194,8,reviewed,us,us
2019-10-19T20:31:55.464Z,-18.9154,178.0608,17.49,5.7,mww,,37,1.164,0.84,us,us70005w2i,2020-07-10T17:51:14.714Z,"94 km SSW of Suva, Fiji",earthquake,6.6,3.1,0.06,27,reviewed,us,us
2019-09-30T13:39:33.933Z,-17.6156,179.9142,603.51,4.7,mb,,59,1.779,0.8,us,us70005nvb,2019-12-20T19:04:03.040Z,"80 km NE of Levuka, Fiji",earthquake,10.3,7.3,0.032,293,reviewed,us,us
2019-09-30T13:30:09.993Z,-17.623,179.865,608.31,4.7,mb,,75,1.731,0.77,us,us70005nv5,2019-12-20T19:04:03.040Z,"76 km NE of Levuka, Fiji",earthquake,11.1,8.3,0.03,328,reviewed,us,us
2019-09-19T01:03:20.997Z,-17.4802,179.5836,576.83,4.5,mb,,140,1.483,0.55,us,us70005mer,2019-12-10T17:27:14.040Z,"70 km NNE of Levuka, Fiji",earthquake,15.1,7.6,0.15,13,reviewed,us,us
2019-09-15T14:03:08.081Z,-17.8601,179.5163,644.67,4.5,mb,,89,1.399,0.55,us,us60005m99,2019-12-05T18:30:52.040Z,"31 km NE of Levuka, Fiji",earthquake,13.7,11.4,0.131,17,reviewed,us,us
2019-07-27T22:00:42.595Z,-16.744,-179.5411,520.49,4.6,mb,,46,2.505,0.87,us,us60004wla,2019-10-11T20:12:43.040Z,"121 km ESE of Labasa, Fiji",earthquake,11.2,6.2,0.044,153,reviewed,us,us
2019-07-26T23:36:36.295Z,-16.734,176.3376,10,5.1,mb,,58,1.922,0.48,us,us60004w90,2019-10-11T20:12:37.040Z,"153 km NW of Lautoka, Fiji",earthquake,9,1.9,0.104,30,reviewed,us,us
2019-07-06T11:39:38.909Z,-18.3274,176.3511,10,4.9,mb,,85,1.719,1.13,us,us70004cip,2019-09-26T14:30:41.040Z,"126 km WSW of Nadi, Fiji",earthquake,10.1,1.9,0.106,28,reviewed,us,us
